"SITE_REFERENCE","GAS_FLOW_DAY","ENERGY_VALUE"
"SC03",02/07/2019,5.93
"SC03",03/07/2019,6.23
"SC03",04/07/2019,7.79
"SC03",05/07/2019,10.28
"SC03",06/07/2019,10.05
"SC03",07/07/2019,8.77
"SC03",08/07/2019,4.37
"SC03",09/07/2019,1.87
"SC03",10/07/2019,6.25
"SC03",11/07/2019,5.9
"SC03",12/07/2019,9.97
"SC03",13/07/2019,5
"SC03",14/07/2019,7.18
"SC03",15/07/2019,6.87
"SC03",16/07/2019,6.23
"SC03",17/07/2019,1.25
"SC03",18/07/2019,7.48
"SC03",19/07/2019,1.56
"SC03",20/07/2019,8.45
"SC03",21/07/2019,5.65
"SC03",22/07/2019,7.18
"SC03",23/07/2019,8.14
"SC03",24/07/2019,8.14
"SC03",25/07/2019,4.38
"SC03",26/07/2019,9.37
"SC03",27/07/2019,5.64
"SC03",28/07/2019,5.93
"SC03",29/07/2019,1.26
"SC03",30/07/2019,4.38
"SC03",31/07/2019,7.18
"SC03",01/08/2019,4.98
"SC03",02/08/2019,8.7
"SC03",03/08/2019,6.82
"SC03",04/08/2019,4.65
"SC03",05/08/2019,5.61
"SC03",06/08/2019,7.18
"SC03",07/08/2019,5.98
"SC03",08/08/2019,3.46
"SC03",09/08/2019,5.67
"SC03",10/08/2019,8.14
"SC03",11/08/2019,6.26
"SC03",12/08/2019,7.83
"SC03",13/08/2019,6.26
"SC03",14/08/2019,6.92
"SC03",15/08/2019,4.75
"SC03",16/08/2019,9.22
"SC03",17/08/2019,9.93
"SC03",18/08/2019,0.96
"SC03",19/08/2019,6.12
"SC03",20/08/2019,7.71
"SC03",21/08/2019,7.39
"SC03",22/08/2019,8.65
"SC03",23/08/2019,9.61
"SC03",24/08/2019,7.05
"SC03",25/08/2019,8.97
"SC03",26/08/2019,1.93
"SC03",27/08/2019,7.07
"SC03",28/08/2019,6.73
"SC03",29/08/2019,1.28
"SC03",30/08/2019,11.18
"SC03",31/08/2019,5.45
"SC03",01/09/2019,0.64
"SC03",02/09/2019,7.07
"SC03",03/09/2019,6.42
"SC03",04/09/2019,6.12
"SC03",05/09/2019,2.25
"SC03",06/09/2019,8.69
"SC03",07/09/2019,8.37
